Product_Name,Category,Total_Quantity,Total_Loss_GBP
REGENCY CAKESTAND 3 TIER,Kitchen & Dining,-693,-7867.35
FAIRY CAKE FLANNEL ASSORTED COLOUR,Kitchen & Dining,-3150,-6591.42
WHITE HANGING HEART T-LIGHT HOLDER,Home Decor,-2551,-6544.65
PANTRY CHOPPING BOARD,Kitchen & Dining,-946,-4803.06
DOORMAT FAIRY CAKE,Kitchen & Dining,-672,-4538.4
GIN + TONIC DIET METAL SIGN,Home Decor,-2029,-3772.78
TEA TIME PARTY BUNTING,Kitchen & Dining,-1424,-3692.95
FELTCRAFT DOLL MOLLY,Arts & Crafts,-1446,-3509.7
COLOUR GLASS. STAR T-LIGHT HOLDER,Home Decor,-1171,-3235.01
PINK BLUE FELT CRAFT TRINKET BOX,Arts & Crafts,-2616,-2777.52
IVORY DINER WALL CLOCK,Kitchen & Dining,-344,-2653.7
RED RETROSPOT CAKE STAND,Kitchen & Dining,-289,-2119.15
JUMBO BAG RED RETROSPOT,Bags & Storage,-1101,-1954.9
VINTAGE RED KITCHEN CABINET,Kitchen & Dining,-10,-1730.5
HOT WATER BOTTLE I AM SO POORLY,Textiles & Soft Goods,-394,-1679.7
DOORMAT KEEP CALM AND COME IN,Home Decor,-225,-1601.25
FLOWERS CHANDELIER T-LIGHT HOLDER,Home Decor,-531,-1600.35
SET/4 WHITE RETRO STORAGE CUBES ,Storage & Organization,-35,-1248.25
REVOLVER WOODEN RULER ,Stationery & Gifts,-716,-1193.4
GIRAFFE WOODEN RULER,Stationery & Gifts,-714,-1185.9
FELTCRAFT 6 FLOWER FRIENDS,Arts & Crafts,-623,-1158.3
PARTY BUNTING,Kitchen & Dining,-268,-1156.8
HOME SWEET HOME MUG,Kitchen & Dining,-1051,-1133.07
FELTCRAFT BUTTERFLY HEARTS,Arts & Crafts,-876,-1102.2
JUMBO BAG APPLES,Bags & Storage,-609,-1101.13
JUMBO BAG ALPHABET,Bags & Storage,-593,-1073.94
WOOD 2 DRAWER CABINET WHITE FINISH,Furniture,-174,-1050.3
JUMBO BAG VINTAGE DOILY ,Bags & Storage,-568,-1030.64
FELTCRAFT CUSHION OWL,Arts & Crafts,-301,-1025.07
